filename,instance,Positive Prewords,Negative Prewords,Contain Negative,len of char,All capatalized,len of words,including digit,labels
9.txt,Gwen,0,0,0,4,1,1,0,1
9.txt,Maude,0,0,0,5,1,1,0,1
9.txt,Gwen,0,0,0,4,1,1,0,1
10.txt,David Schlosser,0,-2,0,15,1,2,0,0
10.txt,Shibumi,1,0,0,7,1,1,0,1
10.txt,Shibumi,0,0,0,7,1,1,0,1
10.txt,Shibumi,0,0,0,7,1,1,0,1
10.txt,Grilled pork,0,0,0,12,0,2,0,0
10.txt,Shibumi,0,0,0,7,1,1,0,1
11.txt,Jun Won,0,-2,-2,7,1,2,0,1
11.txt,Koreatown,0,-2,0,9,1,1,0,0
11.txt,Szechuan Impression,0,0,-2,19,1,2,0,1
11.txt,Chengdu Taste's hegemony,0,0,-2,24,0,3,1,0
11.txt,Chi Spacca,0,0,0,10,1,2,0,1
11.txt,Salazar,0,-2,0,7,1,1,0,1
11.txt,Black Market Liquor Bar,0,0,0,23,1,4,0,1
11.txt,brick & mortar,0,-2,0,14,0,3,1,0
12.txt,Jun Won,0,0,-2,7,1,2,0,1
12.txt,Canele,0,0,0,6,1,1,0,1
12.txt,Canele,0,0,0,6,1,1,0,1
12.txt,Chunju Hanilkwan,0,0,0,16,1,2,0,1
12.txt,Jun Won,0,0,-2,7,1,2,0,1
12.txt,Jun Won,0,0,-2,7,1,2,0,1
12.txt,dishes,0,0,0,6,0,1,0,0
12.txt,Jun Won,1,0,-2,7,1,2,0,1
12.txt,these restaurants,0,0,0,17,0,2,0,0
12.txt,Borneo Kalimantan,1,0,0,17,1,2,0,1
12.txt,Lu¡¯s Garden,0,0,0,12,1,2,1,1
12.txt,India¡¯s Flavor,0,0,0,15,1,2,1,1
12.txt,LA,0,0,-2,2,1,1,0,0
13.txt,Very nice list,0,0,0,14,0,3,0,0
13.txt,New York,0,-2,0,8,1,2,0,0
13.txt,European cities,0,0,0,15,0,2,0,0
13.txt,Columbus Day holiday,0,0,0,20,0,3,0,0
13.txt,Zarate,0,0,0,6,1,1,0,1
13.txt,Lincoln Blvd,0,-2,-2,12,1,2,0,0
13.txt,La Paella,1,0,0,9,1,2,0,1
13.txt,Burton Way,0,-2,-2,10,1,2,0,0
14.txt,Fishing With Dynamite,0,0,-2,21,1,3,0,1
14.txt,Love and Salt,0,0,0,13,0,3,0,1
14.txt,Love and Salt,0,0,0,13,0,3,0,1
14.txt,sooooooo,0,0,0,8,0,1,0,0
14.txt,top 15,0,0,0,6,0,2,1,0
15.txt,Cadet,1,0,0,5,1,1,0,1
15.txt,lists,0,0,0,5,0,1,0,0
15.txt,Cadet,0,0,0,5,1,1,0,1
15.txt,Tar&Roses,0,0,0,9,1,1,1,1
15.txt,baffling,0,0,-2,8,0,1,0,0
16.txt,restaurant,0,0,0,10,0,1,0,0
16.txt,Gracias Madre,0,0,0,13,1,2,0,1
16.txt,Gracias Madre,0,0,0,13,1,2,0,1
16.txt,necessity,0,0,0,9,0,1,0,0
17.txt,Antonia Lofaso's,0,-2,-2,16,1,2,1,0
17.txt,Studio City,0,-2,0,11,1,2,0,1
17.txt,burgeoning dining,0,0,-2,17,0,2,0,0
17.txt,Black Market,0,0,0,12,1,2,0,1
18.txt,great restaurant,0,0,0,16,0,2,0,0
18.txt,Salazar's,0,0,0,9,1,1,1,1
18.txt,Salazar's,0,0,0,9,1,1,1,1
18.txt,Sonoran-style,0,0,-2,13,1,1,1,0
18.txt,carne asada,0,0,0,11,0,2,0,0
18.txt,flour tortillas,0,-2,0,15,0,2,0,0
19.txt,Chi Spacca,1,0,0,10,1,2,0,1
19.txt,Chi Spacca's,0,0,0,12,1,2,1,1
19.txt,classic-looking steakhouse,0,0,-2,26,0,2,1,0
19.txt,salumi,0,0,0,6,0,1,0,0
19.txt,focaccia di recco,0,-2,0,17,0,3,0,0
19.txt,carb-lover's,0,0,0,12,0,1,1,0
20.txt,Citizen,0,0,0,7,1,1,0,1
20.txt,American menu,0,0,0,13,0,2,0,0
20.txt,Scott Howard,0,-2,0,12,1,2,0,0
20.txt,Spanish octopus,0,-2,0,15,0,2,0,0
20.txt,citizen,0,0,0,7,0,1,0,1
21.txt,Gwen,1,0,0,4,1,1,0,1
21.txt,West Hollywood,0,-2,0,14,1,2,0,0
21.txt,L.A.¡¯s,0,0,-2,7,1,1,1,0
21.txt,2016,0,-2,0,4,0,1,1,0
21.txt,Curtis Stone,0,-2,-2,12,1,2,0,0
21.txt,Gwen,0,0,0,4,1,1,0,1
21.txt,Gwen,1,0,0,4,1,1,0,1
21.txt,Gwen,0,0,0,4,1,1,0,1
22.txt,Kali,0,0,0,4,1,1,0,1
22.txt,Kevin Meehan,0,-2,-2,12,1,2,0,0
22.txt,Michelin-starred restaurant,0,0,-2,27,0,2,1,1
22.txt,Kevin¡¯s,0,-2,-2,8,1,1,1,0
22.txt,Kali,0,0,0,4,1,1,0,1
22.txt,Kali,0,-2,0,4,1,1,0,1
22.txt,charred avocado,0,0,0,15,0,2,0,0
23.txt,Mar¨¦,0,0,0,5,1,1,1,1
23.txt,Melrose Avenue,0,-2,0,14,1,2,0,0
23.txt,Santa Monica,0,-2,-2,12,1,2,0,0
23.txt,European city,0,0,0,13,0,2,0,0
23.txt,Mar¨¦,0,0,0,5,1,1,1,1
23.txt,brain-child,0,0,-2,11,0,1,1,0
23.txt,Eric Greenspan,0,-2,0,14,1,2,0,0
23.txt,Mar¨¦¡¯s,0,-2,0,8,1,1,1,1
23.txt,Melrose location,0,0,-2,16,0,2,0,0
24.txt,Wexler¡¯s Deli,0,0,0,14,1,2,1,1
24.txt,Santa Monica,0,-2,-2,12,1,2,0,0
24.txt,Micah Wexler,0,-2,0,12,1,2,0,0
24.txt,Jewish Deli culture,0,-2,0,19,0,3,0,0
24.txt,Wexler¡¯s second deli,0,0,-2,21,0,3,1,0
24.txt,Wexler¡¯s Deli,0,-2,0,14,1,2,1,1
24.txt,L.A.,1,0,-2,4,1,1,1,0
25.txt,Moruno,0,0,0,6,1,1,0,1
25.txt,Bar Moruno,0,0,0,10,1,2,0,1
25.txt,Los Angeles¡¯,0,0,-2,13,1,2,1,0
25.txt,Moruno,0,0,0,6,1,1,0,1
25.txt,ground-floor,0,0,0,12,0,1,1,0
25.txt,southern Spanish,0,0,0,16,0,2,0,0
25.txt,Moruno,0,0,0,6,1,1,0,1
26.txt,Salazar,0,0,0,7,1,1,0,1
26.txt,Mexican mesquite,1,0,0,16,0,2,0,0
26.txt,Esdras Ochoa,0,-2,0,12,1,2,0,0
26.txt,Brandi Boles,0,-2,0,12,1,2,0,0
26.txt,classic Mexican,0,-2,0,15,0,2,0,0
26.txt,Salazar,1,0,0,7,1,1,0,1
27.txt,Scarpetta,0,0,0,9,1,1,0,1
27.txt,the Montage Hotel,0,-2,-2,17,0,3,0,0
27.txt,Geoffrey Zakarian,0,-2,0,17,1,2,0,0
27.txt,New York City chef,0,0,-2,18,0,4,0,0
27.txt,Georgie Restaurant,0,0,0,18,1,2,0,1
27.txt,Georgie,1,0,0,7,1,1,0,1
28.txt,Marcel Vigneron,0,-2,-2,15,1,2,0,0
28.txt,Wolf,0,0,0,4,1,1,0,1
28.txt,Spring of 2016,0,0,-2,14,0,3,1,0
28.txt,Wolf,1,0,0,4,1,1,0,1
28.txt,miso black cod,0,0,0,14,0,3,0,0
29.txt,Honeybird,0,0,-2,9,1,1,0,1
29.txt,fried chicken,1,0,0,13,0,2,0,0
29.txt,Honeybird¡¯s,0,0,-2,12,1,1,1,1
29.txt,The slightly,0,0,0,12,0,2,0,0
30.txt,The crunch,0,0,0,10,0,2,0,0
30.txt,juiciness,0,0,-2,9,0,1,0,0
30.txt,Howlin¡¯ Ray¡¯s,0,0,-2,15,1,2,1,1
30.txt,Nashville hot,0,0,0,13,0,2,0,0
30.txt,Howlin¡¯ Ray¡¯s,0,0,-2,15,1,2,1,1
30.txt,Johnny Ray Zone,0,-2,-2,15,1,3,0,0
31.txt,Joe's Falafel,0,0,0,13,1,2,1,1
31.txt,Providence,0,0,0,10,1,1,0,1
31.txt,Michael Cimarusti,0,0,0,17,1,2,0,0
31.txt,Guisado's,0,0,0,9,1,1,1,1
31.txt,Genwa Korean BBQ,0,0,0,16,1,3,0,1
31.txt,top of Yelp's,0,0,0,13,0,3,1,0
31.txt,Los Angeles,0,-2,-2,11,1,2,0,0
31.txt,Los Angeles,0,-2,-2,11,1,2,0,0
32.txt,Iron Chef Morimoto's,0,0,-2,20,1,3,1,1
32.txt,Morimoto's,0,0,0,10,1,1,1,1
32.txt,rice,0,0,0,4,0,1,0,0
32.txt,extremely,0,0,0,9,0,1,0,0
32.txt,McDonalds,1,-2,-2,9,1,1,0,1
33.txt,Domino's,0,0,-2,8,1,1,1,1
33.txt,Los Angeles,0,-2,-2,11,1,2,0,0
33.txt,in Monrovia,0,0,-2,11,0,2,0,0
33.txt,Domino's,0,0,-2,8,1,1,1,1
33.txt,pizza hut,0,0,0,9,0,2,0,0
34.txt,West LA,0,0,-2,7,1,2,0,0
34.txt,Pantry's Pizza,0,0,0,14,1,2,1,1
34.txt,Pantry's Pizza,0,0,0,14,1,2,1,1
34.txt,nightmare,0,0,0,9,0,1,0,0
35.txt,Sushi Kingz,1,0,-2,11,1,2,0,1
35.txt,The place,0,0,0,9,0,2,0,0
35.txt,Sushi Kingz,1,0,-2,11,1,2,0,1
35.txt,food,0,0,0,4,0,1,0,0
36.txt,Zucca,0,0,0,5,1,1,0,1
36.txt,DineLA,0,0,-2,6,1,1,0,0
36.txt,proscuitto plate,0,0,0,16,0,2,0,0
36.txt,mushroom sauce,0,0,0,14,0,2,0,0
36.txt,Zucca,0,0,0,5,1,1,0,1
37.txt,NY steak,0,0,0,8,0,2,0,0
37.txt,Pass the Line,0,0,-2,13,0,3,0,0
37.txt,House of Blues,0,0,0,14,0,3,0,1
37.txt,Lucky's,1,0,0,7,1,1,1,1
37.txt,Pass the Line,1,0,-2,13,0,3,0,0
37.txt,McDonalds,0,0,-2,9,1,1,0,1
37.txt,Lucky's,1,0,0,7,1,1,1,1
37.txt,Mr. Lucky's 24-7,0,0,0,16,0,3,1,1
38.txt,Tsubaki,0,0,0,7,1,1,0,1
38.txt,Kush,0,0,0,4,1,1,0,1
38.txt,Echo Park,0,-2,0,9,1,2,0,0
38.txt,Tsubaki,0,0,0,7,1,1,0,1
38.txt,Japan,1,0,0,5,1,1,0,0
38.txt,Tsubaki,0,0,0,7,1,1,0,1
39.txt,Hollywood Blvd,0,0,-2,14,1,2,0,0
39.txt,killer daytime,0,0,0,14,0,2,0,0
39.txt,Kismet,0,0,0,6,1,1,0,1
39.txt,Madcapra,0,-2,0,8,1,1,0,1
39.txt,Animal,0,0,0,6,1,1,0,1
39.txt,avocado toast,0,0,0,13,0,2,0,0
40.txt,password,0,0,0,8,0,1,0,0
40.txt,Tinfoil Liquor & Grocery,0,0,-2,24,0,4,1,1
40.txt,Tinfoil Liquor & Grocery,0,0,-2,24,0,4,1,1
40.txt,mac salad,0,0,0,9,0,2,0,0
41.txt,restaurants in the city,0,0,-2,23,0,4,0,0
41.txt,Bowery Bungalow,0,0,0,15,1,2,0,1
41.txt,Bowery,0,0,0,6,1,1,0,1
41.txt,Farida¡¯s,0,0,0,9,1,1,1,1
41.txt,North African,0,0,0,13,1,2,0,0
42.txt,Pasadena,1,0,0,8,1,1,0,1
42.txt,The modern,0,0,0,10,0,2,0,0
42.txt,Maestro,0,0,0,7,1,1,0,1
42.txt,porky cousins,0,0,-2,13,0,2,0,0
43.txt,Mar Vista,0,0,0,9,1,2,0,1
43.txt,The Mar Vista,0,0,0,13,1,3,0,1
43.txt,fontina bacon crab,0,0,-2,18,0,3,0,0
43.txt,brussels sprouts,0,0,0,16,0,2,0,0
44.txt,Silver Lake,0,0,0,11,1,2,0,1
44.txt,brand new,0,0,0,9,0,2,0,0
44.txt,at the register,0,0,0,15,0,3,0,0
44.txt,LA,0,-2,-2,2,1,1,0,0
44.txt,Fat Dragon,0,0,-2,10,1,2,0,1
45.txt,good restaurants,0,0,0,16,0,2,0,0
45.txt,La Brea,0,0,0,7,1,2,0,1
45.txt,Wilshire,0,0,0,8,1,1,0,1
45.txt,never-ending,0,0,-2,12,0,1,1,0
45.txt,Commerson,0,0,-2,9,1,1,0,1
45.txt,seafood-based restaurant,0,0,0,24,0,2,1,0
46.txt,focaccia-by-the-slice,0,0,0,21,0,1,1,0
46.txt,Di Alba,0,0,0,7,1,2,0,1
46.txt,Toppings,0,0,-2,8,1,1,0,0
46.txt,Di Alba,0,0,0,7,1,2,0,1
47.txt,Koreatown,0,-2,0,9,1,1,0,0
47.txt,people,0,0,0,6,0,1,0,0
47.txt,Kang Ho Baekjeong,0,0,-2,17,1,3,0,1
47.txt,Denny¡¯s,0,0,0,8,1,1,1,1
47.txt,hamachi,0,0,0,7,0,1,0,0
47.txt,Wiltern,0,0,0,7,1,1,0,1
48.txt,Silver Lake's,0,0,0,13,1,2,1,1
48.txt,locals' hangout,0,0,0,15,0,2,1,0
48.txt,Wolfdown,0,0,0,8,1,1,0,1
48.txt,neighborhood,0,-2,0,12,0,1,0,0
48.txt,Rowena,0,-2,0,6,1,1,0,1
48.txt,friend's,0,0,0,8,0,1,1,0
49.txt,Tatsu on Melrose,1,0,-2,16,0,3,0,1
49.txt,with zero wait time,0,0,0,19,0,4,0,0
49.txt,EAK,0,0,0,3,1,1,0,1
49.txt,EAK,0,0,0,3,1,1,0,1
49.txt,means,0,0,0,5,0,1,0,0
49.txt,the gyoza,0,0,0,9,0,2,0,0
50.txt,LA¡¯s,0,0,-2,5,1,1,1,0
50.txt,Angelini Osteria,0,0,-2,16,1,2,0,1
50.txt,on Beverly,0,0,-2,10,0,2,0,0
50.txt,Alimentari,0,0,0,10,1,1,0,1
50.txt,coffee,0,0,0,6,0,1,0,0
51.txt,Ledlow,0,-2,0,6,1,1,0,1
51.txt,cut itself,1,0,0,10,0,2,0,0
51.txt,P.Y.T.,0,0,0,6,1,1,1,1
51.txt,The food,0,0,0,8,0,2,0,0
51.txt,ricotta cavatelli,0,0,0,17,0,2,0,0
52.txt,Destroyer,0,0,0,9,1,1,0,1
52.txt,cafe,0,0,0,4,0,1,0,0
52.txt,nuclear arsenal,0,0,0,15,0,2,0,0
52.txt,modern and interesting,0,0,-2,22,0,3,0,0
53.txt,Cahuenga,0,-2,0,8,1,1,0,1
53.txt,Birch,1,0,0,5,1,1,0,1
53.txt,impressive,0,0,0,10,0,1,0,0
53.txt,and,1,0,0,3,0,1,0,0
53.txt,ricotta gnocchi,0,0,0,15,0,2,0,0
54.txt,but,0,0,0,3,0,1,0,0
54.txt,Trois Mec,0,0,0,9,1,2,0,1
54.txt,Kato,0,0,0,4,1,1,0,1
54.txt,sukiyaki-inspired soup,0,0,-2,22,0,2,1,0
55.txt,Salazar,0,0,0,7,1,1,0,1
55.txt,The,0,0,0,3,1,1,0,0
55.txt,with,0,0,0,4,0,1,0,0
55.txt,tacos,0,0,0,5,0,1,0,0
56.txt,Loqui,0,0,0,5,1,1,0,1
56.txt,Loqui,0,0,0,5,1,1,0,1
56.txt,Culver City¡¯s,0,0,0,14,1,2,1,0
56.txt,tacos,0,0,0,5,0,1,0,0
57.txt,DTLA,0,0,-2,4,1,1,0,1
57.txt,order-at-the-counter,0,-2,0,20,0,1,1,0
57.txt,DTLA,0,0,-2,4,1,1,0,1
57.txt,tacos,0,0,0,5,0,1,0,0
58.txt,hot chicken,0,0,0,11,0,2,0,0
58.txt,Howlin Ray¡¯s,0,0,-2,13,1,2,1,1
58.txt,That said,0,0,0,9,0,2,0,0
58.txt,Howlin Ray¡¯s,1,0,-2,13,1,2,1,1
59.txt,Pasadena,1,0,0,8,1,1,0,1
59.txt,The modern,0,0,0,10,0,2,0,0
59.txt,Maestro,0,0,0,7,1,1,0,1
59.txt,porky cousins,0,0,-2,13,0,2,0,0
60.txt,restaurants in the city,0,0,-2,23,0,4,0,0
60.txt,Bowery Bungalow,0,0,0,15,1,2,0,1
60.txt,Bowery,0,0,0,6,1,1,0,1
60.txt,Farida¡¯s,0,0,0,9,1,1,1,1
60.txt,North African,0,0,0,13,1,2,0,0
61.txt,password,0,0,0,8,0,1,0,0
61.txt,Tinfoil Liquor & Grocery,0,0,-2,24,0,4,1,1
61.txt,Tinfoil Liquor & Grocery,0,0,-2,24,0,4,1,1
61.txt,mac salad,0,0,0,9,0,2,0,0
62.txt,Hollywood Blvd,0,0,-2,14,1,2,0,0
62.txt,killer daytime,0,0,0,14,0,2,0,0
62.txt,Kismet,0,0,0,6,1,1,0,1
62.txt,Madcapra,0,-2,0,8,1,1,0,1
62.txt,Animal,0,0,0,6,1,1,0,1
62.txt,avocado toast,0,0,0,13,0,2,0,0
63.txt,Tsubaki,0,0,0,7,1,1,0,1
63.txt,Kush,0,0,0,4,1,1,0,1
63.txt,Echo Park,0,-2,0,9,1,2,0,0
63.txt,Tsubaki,0,0,0,7,1,1,0,1
63.txt,Japan,1,0,0,5,1,1,0,0
63.txt,Tsubaki,0,0,0,7,1,1,0,1
64.txt,NY steak,0,0,0,8,0,2,0,0
64.txt,Pass the Line,0,0,-2,13,0,3,0,0
64.txt,House of Blues,0,0,0,14,0,3,0,1
64.txt,Lucky's,1,0,0,7,1,1,1,1
64.txt,Pass the Line,1,0,-2,13,0,3,0,0
64.txt,McDonalds,0,0,-2,9,1,1,0,1
64.txt,Lucky's,1,0,0,7,1,1,1,1
64.txt,Mr. Lucky's 24-7,0,0,0,16,0,3,1,1
65.txt,Zucca,0,0,0,5,1,1,0,1
65.txt,DineLA,0,0,-2,6,1,1,0,0
65.txt,proscuitto plate,0,0,0,16,0,2,0,0
65.txt,mushroom sauce,0,0,0,14,0,2,0,0
65.txt,Zucca,0,0,0,5,1,1,0,1
66.txt,Sushi Kingz,1,0,-2,11,1,2,0,1
66.txt,The place,0,0,0,9,0,2,0,0
66.txt,Sushi Kingz,1,0,-2,11,1,2,0,1
66.txt,food,0,0,0,4,0,1,0,0
67.txt,Joe's Falafel,0,0,0,13,1,2,1,1
67.txt,Providence,0,0,0,10,1,1,0,1
67.txt,Michael Cimarusti,0,0,0,17,1,2,0,0
67.txt,Guisado's,0,0,0,9,1,1,1,1
67.txt,Genwa Korean BBQ,0,0,0,16,1,3,0,1
67.txt,top of Yelp's,0,0,0,13,0,3,1,0
67.txt,Los Angeles,0,-2,-2,11,1,2,0,0
67.txt,Los Angeles,0,-2,-2,11,1,2,0,0
68.txt,The crunch,0,0,0,10,0,2,0,0
68.txt,juiciness,0,0,-2,9,0,1,0,0
68.txt,Howlin¡¯ Ray¡¯s,0,0,-2,15,1,2,1,1
68.txt,Nashville hot,0,0,0,13,0,2,0,0
68.txt,Howlin¡¯ Ray¡¯s,0,0,-2,15,1,2,1,1
68.txt,Johnny Ray Zone,0,-2,-2,15,1,3,0,0
69.txt,Honeybird,0,0,-2,9,1,1,0,1
69.txt,fried chicken,1,0,0,13,0,2,0,0
69.txt,Honeybird¡¯s,0,0,-2,12,1,1,1,1
69.txt,The slightly,0,0,0,12,0,2,0,0
70.txt,Marcel Vigneron,0,-2,-2,15,1,2,0,0
70.txt,Wolf,0,0,0,4,1,1,0,1
70.txt,Spring of 2016,0,0,-2,14,0,3,1,0
70.txt,Wolf,1,0,0,4,1,1,0,1
70.txt,miso black cod,0,0,0,14,0,3,0,0
71.txt,Scarpetta,0,0,0,9,1,1,0,1
71.txt,the Montage Hotel,0,-2,-2,17,0,3,0,0
71.txt,Geoffrey Zakarian,0,-2,0,17,1,2,0,0
71.txt,New York City chef,0,0,-2,18,0,4,0,0
71.txt,Georgie Restaurant,0,0,0,18,1,2,0,1
71.txt,Georgie,1,0,0,7,1,1,0,1
72.txt,Salazar,0,0,0,7,1,1,0,1
72.txt,Mexican mesquite,1,0,0,16,0,2,0,0
72.txt,Esdras Ochoa,0,-2,0,12,1,2,0,0
72.txt,Brandi Boles,0,-2,0,12,1,2,0,0
72.txt,classic Mexican,0,-2,0,15,0,2,0,0
72.txt,Salazar,1,0,0,7,1,1,0,1
73.txt,Moruno,0,0,0,6,1,1,0,1
73.txt,Bar Moruno,0,0,0,10,1,2,0,1
73.txt,Los Angeles¡¯,0,0,-2,13,1,2,1,0
73.txt,Moruno,0,0,0,6,1,1,0,1
73.txt,ground-floor,0,0,0,12,0,1,1,0
73.txt,southern Spanish,0,0,0,16,0,2,0,0
73.txt,Moruno,0,0,0,6,1,1,0,1
74.txt,Wexler¡¯s Deli,0,0,0,14,1,2,1,1
74.txt,Santa Monica,0,-2,-2,12,1,2,0,0
74.txt,Micah Wexler,0,-2,0,12,1,2,0,0
74.txt,Jewish Deli culture,0,-2,0,19,0,3,0,0
74.txt,Wexler¡¯s second deli,0,0,-2,21,0,3,1,0
74.txt,Wexler¡¯s Deli,0,-2,0,14,1,2,1,1
74.txt,L.A.,1,0,-2,4,1,1,1,0
75.txt,West LA,0,0,-2,7,1,2,0,0
75.txt,Pantry's Pizza,0,0,0,14,1,2,1,1
75.txt,Pantry's Pizza,0,0,0,14,1,2,1,1
75.txt,nightmare,0,0,0,9,0,1,0,0
76.txt,Domino's,0,0,-2,8,1,1,1,1
76.txt,Los Angeles,0,-2,-2,11,1,2,0,0
76.txt,in Monrovia,0,0,-2,11,0,2,0,0
76.txt,Domino's,0,0,-2,8,1,1,1,1
76.txt,pizza hut,0,0,0,9,0,2,0,0
77.txt,Iron Chef Morimoto's,0,0,-2,20,1,3,1,1
77.txt,Morimoto's,0,0,0,10,1,1,1,1
77.txt,rice,0,0,0,4,0,1,0,0
77.txt,extremely,0,0,0,9,0,1,0,0
77.txt,McDonalds,1,-2,-2,9,1,1,0,1
78.txt,Mar¨¦,0,0,0,5,1,1,1,1
78.txt,Melrose Avenue,0,-2,0,14,1,2,0,0
78.txt,Santa Monica,0,-2,-2,12,1,2,0,0
78.txt,European city,0,0,0,13,0,2,0,0
78.txt,Mar¨¦,0,0,0,5,1,1,1,1
78.txt,brain-child,0,0,-2,11,0,1,1,0
78.txt,Eric Greenspan,0,-2,0,14,1,2,0,0
78.txt,Mar¨¦¡¯s,0,-2,0,8,1,1,1,1
78.txt,Melrose location,0,0,-2,16,0,2,0,0
79.txt,Kali,0,0,0,4,1,1,0,1
79.txt,Kevin Meehan,0,-2,-2,12,1,2,0,0
79.txt,Michelin-starred restaurant,0,0,-2,27,0,2,1,1
79.txt,Kevin¡¯s,0,-2,-2,8,1,1,1,0
79.txt,Kali,0,0,0,4,1,1,0,1
79.txt,Kali,0,-2,0,4,1,1,0,1
79.txt,charred avocado,0,0,0,15,0,2,0,0
80.txt,Gwen,1,0,0,4,1,1,0,1
80.txt,West Hollywood,0,-2,0,14,1,2,0,0
80.txt,L.A.¡¯s,0,0,-2,7,1,1,1,0
80.txt,2016,0,-2,0,4,0,1,1,0
80.txt,Curtis Stone,0,-2,-2,12,1,2,0,0
80.txt,Gwen,0,0,0,4,1,1,0,1
80.txt,Gwen,1,0,0,4,1,1,0,1
80.txt,Gwen,0,0,0,4,1,1,0,1
81.txt,Citizen,0,0,0,7,1,1,0,1
81.txt,American menu,0,0,0,13,0,2,0,0
81.txt,Scott Howard,0,-2,0,12,1,2,0,0
81.txt,Spanish octopus,0,-2,0,15,0,2,0,0
81.txt,citizen,0,0,0,7,0,1,0,1
82.txt,Chi Spacca,1,0,0,10,1,2,0,1
82.txt,Chi Spacca's,0,0,0,12,1,2,1,1
82.txt,classic-looking steakhouse,0,0,-2,26,0,2,1,0
82.txt,salumi,0,0,0,6,0,1,0,0
82.txt,focaccia di recco,0,-2,0,17,0,3,0,0
82.txt,carb-lover's,0,0,0,12,0,1,1,0
83.txt,great restaurant,0,0,0,16,0,2,0,0
83.txt,Salazar's,0,0,0,9,1,1,1,1
83.txt,Salazar's,0,0,0,9,1,1,1,1
83.txt,Sonoran-style,0,0,-2,13,1,1,1,0
83.txt,carne asada,0,0,0,11,0,2,0,0
83.txt,flour tortillas,0,-2,0,15,0,2,0,0
84.txt,Antonia Lofaso's,0,-2,-2,16,1,2,1,0
84.txt,Studio City,0,-2,0,11,1,2,0,1
